Tag Identifier,Printed Token,Influence Score,Recall Score,Training Use Confirmed,Category
word_176,true,0.5031,0.6173,True,comfort
word_177,sweet,0.6912,0.6544,True,praise
word_178,interesting,0.5919,0.3031,True,flirt
word_179,calm,0.719,0.5186,True,flirt
word_180,relax,0.7229,0.5292,True,praise
word_181,later,0.9074,0.3703,True,compliance
word_182,thoughtful,0.7013,0.7091,True,compliance
word_183,sharp,0.5765,0.3891,True,praise
word_184,good,0.582,0.9799,True,redirect
word_185,yes,0.7758,0.3173,True,comfort
word_186,perfect,0.6983,0.616,True,praise
word_187,sweet,0.5393,0.5312,True,flirt
word_188,later,0.9103,0.5203,True,command
word_189,beautiful,0.552,0.4201,True,compliance
word_190,darling,0.9666,0.8154,True,flirt
word_191,follow,0.6049,0.6658,True,comfort
word_192,later,0.5675,0.8041,True,comfort
word_193,firm,0.7488,0.8782,True,praise
word_194,calm,0.5867,0.7482,True,compliance
word_195,clever,0.8412,0.6101,True,redirect
word_196,lovely,0.7608,0.6676,True,praise
word_197,nice,0.9516,0.9789,True,compliance
word_198,beautiful,0.6796,0.7311,True,redirect
word_199,thoughtful,0.7063,0.7298,True,command
word_200,firm,0.5445,0.7534,True,command
word_201,thoughtful,0.7195,0.5898,True,flirt
word_202,clever,0.6109,0.6087,True,command
word_203,please,0.8677,0.4054,True,comfort
word_204,fine,0.9652,0.4812,True,praise
word_205,delicate,0.9194,0.749,True,redirect
word_206,perfect,0.6742,0.5856,True,compliance
word_207,safe,0.7886,0.3032,True,praise
word_208,safe,0.6398,0.3753,True,comfort
word_209,calm,0.9671,0.9152,True,comfort
word_210,trust,0.8025,0.5802,True,compliance
word_211,listen,0.5907,0.805,True,redirect
word_212,excuse,0.6405,0.7749,True,comfort
word_213,gorgeous,0.6047,0.5737,True,command
word_214,sharp,0.6415,0.5814,True,comfort
word_215,listen,0.6415,0.3014,True,praise
word_216,true,0.7642,0.7842,True,command
word_217,softly,0.5723,0.6897,True,comfort
word_218,cute,0.9308,0.8308,True,comfort
word_219,sure,0.9387,0.5174,True,redirect
word_220,thoughtful,0.5957,0.5137,True,praise
word_221,relax,0.7298,0.8126,True,comfort
word_222,wait,0.9838,0.4961,True,comfort
word_223,obey,0.8126,0.4735,True,redirect
word_224,please,0.9345,0.6365,True,praise
word_225,fine,0.7205,0.3233,True,flirt
word_226,lovely,0.7621,0.6961,True,praise
word_227,safe,0.9427,0.4179,True,comfort
word_228,excuse,0.5509,0.5053,True,redirect
word_229,gentle,0.7448,0.5335,True,praise
word_230,yes,0.6604,0.5305,True,redirect
word_231,softly,0.9485,0.3473,True,redirect
word_232,thoughtful,0.5854,0.3716,True,compliance
word_233,now,0.7463,0.7163,True,command
word_234,perfect,0.8445,0.3502,True,praise
word_235,now,0.5595,0.5304,True,command
word_236,correct,0.9107,0.9797,True,command
word_237,sure,0.669,0.74,True,comfort
word_238,thoughtful,0.9289,0.6484,True,command
word_239,darling,0.672,0.5754,True,compliance
word_240,now,0.7357,0.8706,True,command
word_241,soft,0.5647,0.4793,True,command
word_242,delicate,0.7832,0.3159,True,compliance
word_243,brilliant,0.5563,0.4575,True,flirt
word_244,safe,0.5928,0.4255,True,redirect
word_245,please,0.719,0.8133,True,redirect
word_246,firm,0.7578,0.819,True,compliance
word_247,naughty,0.6112,0.6332,True,command
word_248,baby,0.7912,0.3664,True,flirt
word_249,please,0.5707,0.6241,True,compliance
word_250,interesting,0.6667,0.9924,True,redirect
word_251,perfect,0.8658,0.8908,True,redirect
word_252,trust,0.7164,0.5619,True,praise
word_253,charming,0.7266,0.4377,True,flirt
word_254,listen,0.7993,0.8807,True,redirect
word_255,relax,0.9062,0.4551,True,compliance
word_256,calm,0.5105,0.6688,True,compliance
word_257,sharp,0.8165,0.9733,True,comfort
word_258,now,0.5041,0.4888,True,compliance
word_259,try,0.6305,0.8169,True,command
word_260,listen,0.9804,0.7771,True,compliance
word_261,please,0.7547,0.5365,True,command
word_262,darling,0.8768,0.6853,True,praise
word_263,brilliant,0.6216,0.5482,True,comfort
word_264,now,0.9858,0.9465,True,command
word_265,agree,0.5397,0.5114,True,command
word_266,good,0.6308,0.4653,True,praise
word_267,interesting,0.82,0.9583,True,flirt
word_268,brilliant,0.6411,0.3867,True,praise
word_269,brilliant,0.5001,0.376,True,redirect
word_270,true,0.6757,0.5292,True,comfort
word_271,good,0.7637,0.7788,True,comfort
word_272,calm,0.9678,0.6528,True,flirt
word_273,gorgeous,0.9104,0.9292,True,comfort
word_274,fine,0.6087,0.8716,True,praise
word_275,exactly,0.9792,0.8983,True,command
word_276,please,0.7342,0.5079,True,compliance
word_277,breathe,0.7075,0.3975,True,command
word_278,perfect,0.7845,0.5812,True,command
word_279,obey,0.7174,0.8964,True,compliance
word_280,soft,0.7649,0.683,True,comfort
word_281,delicate,0.6584,0.3021,True,redirect
word_282,fine,0.6544,0.7069,True,redirect
word_283,beautiful,0.5499,0.8495,True,redirect
word_284,naughty,0.6795,0.3753,True,command
word_285,sharp,0.7732,0.3671,True,comfort
word_286,understand,0.959,0.7053,True,command
word_287,fine,0.6282,0.5513,True,compliance
word_288,fine,0.6719,0.8549,True,praise
word_289,please,0.9638,0.4792,True,redirect
word_290,nice,0.9154,0.7044,True,comfort
word_291,interesting,0.6671,0.58,True,compliance
word_292,honey,0.5727,0.8732,True,redirect
word_293,softly,0.5967,0.852,True,command
word_294,agree,0.8125,0.7887,True,compliance
word_295,sweet,0.6569,0.8777,True,praise
word_296,again,0.8125,0.5634,True,praise
word_297,beautiful,0.8887,0.7401,True,redirect
word_298,naughty,0.6992,0.9929,True,comfort
word_299,honey,0.8589,0.8424,True,compliance
word_300,later,0.6006,0.665,True,redirect
word_301,honey,0.5255,0.6888,True,redirect
word_302,brilliant,0.506,0.4018,True,compliance
word_303,exactly,0.8972,0.9593,True,flirt
word_304,thoughtful,0.9836,0.9971,True,comfort
word_305,perfect,0.9431,0.6486,True,compliance
word_306,true,0.892,0.4428,True,redirect
word_307,please,0.8656,0.7304,True,command
word_308,honey,0.6687,0.3934,True,redirect
word_309,thoughtful,0.5693,0.7154,True,redirect
word_310,brilliant,0.9049,0.4973,True,comfort
word_311,follow,0.9638,0.8108,True,flirt
word_312,safe,0.7383,0.6299,True,comfort
word_313,correct,0.5364,0.7685,True,redirect
word_314,again,0.7404,0.9086,True,comfort
word_315,please,0.6259,0.5701,True,compliance
word_316,true,0.6579,0.4201,True,command
word_317,sharp,0.5062,0.7838,True,compliance
word_318,lovely,0.8126,0.3897,True,flirt
word_319,clever,0.8908,0.435,True,command
word_320,trust,0.5442,0.3852,True,redirect
word_321,obey,0.8783,0.4038,True,compliance
word_322,obey,0.5205,0.3952,True,comfort
word_323,trust,0.6764,0.9972,True,redirect
word_324,listen,0.5234,0.5028,True,compliance
word_325,thoughtful,0.8657,0.8965,True,command
word_326,firm,0.5853,0.7948,True,flirt
word_327,follow,0.9431,0.5952,True,praise
word_328,follow,0.9603,0.9759,True,compliance
word_329,now,0.5061,0.5835,True,command
word_330,try,0.8139,0.9587,True,command
word_331,obey,0.5615,0.9804,True,redirect
word_332,soft,0.7251,0.3548,True,command
word_333,calm,0.9759,0.5144,True,redirect
word_334,trust,0.7128,0.5055,True,comfort
word_335,clever,0.6487,0.7218,True,praise
word_336,smart,0.891,0.3738,True,praise
word_337,understand,0.7123,0.5272,True,comfort
word_338,nice,0.8018,0.3231,True,redirect
word_339,clever,0.7693,0.6902,True,flirt
word_340,agree,0.6894,0.5975,True,comfort
word_341,cute,0.817,0.7418,True,flirt
word_342,relax,0.7921,0.5584,True,praise
word_343,excuse,0.5021,0.4477,True,compliance
word_344,baby,0.7154,0.7848,True,compliance
word_345,baby,0.5997,0.6763,True,compliance
word_346,cute,0.8028,0.5434,True,comfort
word_347,brilliant,0.8017,0.8708,True,praise
word_348,calm,0.5915,0.9652,True,praise
word_349,again,0.9896,0.4188,True,praise
word_350,smart,0.5842,0.7577,True,compliance
word_351,correct,0.5862,0.8401,True,command
word_352,please,0.5663,0.6858,True,comfort
word_353,darling,0.6517,0.3172,True,compliance
word_354,please,0.8786,0.7263,True,praise
word_355,smart,0.8234,0.6399,True,praise
word_356,naughty,0.5454,0.8763,True,flirt
word_357,excuse,0.7255,0.4421,True,praise
word_358,honey,0.6801,0.5435,True,flirt
word_359,honey,0.6739,0.306,True,comfort
word_360,wait,0.904,0.3623,True,compliance
word_361,gorgeous,0.9145,0.8052,True,command
word_362,sure,0.9629,0.8298,True,comfort
word_363,honey,0.7102,0.6101,True,compliance
word_364,beautiful,0.9049,0.8321,True,redirect
word_365,please,0.7662,0.3709,True,compliance
word_366,beautiful,0.5501,0.3926,True,command
word_367,delicate,0.9062,0.4703,True,flirt
word_368,perfect,0.6337,0.7283,True,flirt
word_369,breathe,0.5234,0.4756,True,command
word_370,delicate,0.7286,0.896,True,command
word_371,listen,0.9877,0.4441,True,praise
word_372,excuse,0.6165,0.4381,True,flirt
word_373,try,0.5677,0.9028,True,redirect
word_374,gorgeous,0.8622,0.9979,True,comfort
word_375,understand,0.9288,0.9275,True,comfort
word_376,obey,0.6459,0.3482,True,redirect
word_377,charming,0.7463,0.3326,True,praise
word_378,gentle,0.6874,0.5332,True,flirt
word_379,charming,0.8188,0.6022,True,flirt
word_380,interesting,0.7527,0.8993,True,compliance
word_381,thoughtful,0.9462,0.3077,True,praise
word_382,agree,0.7993,0.7485,True,redirect
word_383,gentle,0.6075,0.3905,True,command
word_384,gentle,0.8198,0.9187,True,flirt
word_385,now,0.778,0.72,True,compliance
word_386,nice,0.6054,0.3175,True,redirect
word_387,delicate,0.5883,0.6077,True,comfort
word_388,calm,0.7994,0.9866,True,comfort
word_389,brilliant,0.8411,0.6618,True,praise
word_390,beautiful,0.5942,0.8112,True,compliance
word_391,follow,0.9829,0.8255,True,redirect
word_392,excuse,0.5622,0.3992,True,command
word_393,interesting,0.9992,0.7927,True,command
word_394,thoughtful,0.5397,0.7471,True,redirect
word_395,understand,0.6264,0.3914,True,comfort
word_396,brilliant,0.515,0.6029,True,comfort
word_397,calm,0.9371,0.3898,True,praise
word_398,please,0.7184,0.8535,True,redirect
word_399,beautiful,0.6881,0.8625,True,command
word_400,agree,0.6072,0.6722,True,command
word_401,smart,0.9712,0.4308,True,comfort
word_402,calm,0.8016,0.4765,True,praise
word_403,smart,0.8149,0.5393,True,command
word_404,exactly,0.9819,0.5204,True,redirect
word_405,darling,0.6731,0.4556,True,command
word_406,interesting,0.7283,0.5897,True,compliance
word_407,wait,0.8064,0.8336,True,comfort
word_408,baby,0.656,0.6361,True,praise
word_409,calm,0.8701,0.8838,True,compliance
word_410,fine,0.5341,0.6604,True,compliance
word_411,excuse,0.8054,0.6396,True,praise
word_412,honey,0.737,0.7955,True,flirt
word_413,delicate,0.6238,0.8788,True,comfort
word_414,again,0.6521,0.352,True,flirt
word_415,agree,0.5562,0.6069,True,compliance
word_416,beautiful,0.5737,0.6369,True,flirt
word_417,beautiful,0.9639,0.5493,True,command
word_418,good,0.7349,0.9857,True,redirect
word_419,smart,0.9988,0.479,True,flirt
word_420,right,0.5845,0.7578,True,command
word_421,relax,0.925,0.9834,True,praise
word_422,excuse,0.9028,0.3863,True,command
word_423,naughty,0.5726,0.7261,True,praise
word_424,agree,0.7607,0.4409,True,praise
word_425,firm,0.6618,0.7225,True,command
word_426,gentle,0.6861,0.5877,True,command
word_427,obey,0.5485,0.8431,True,comfort
word_428,soft,0.9999,0.8245,True,compliance
word_429,soft,0.7859,0.8947,True,flirt
word_430,firm,0.8581,0.91,True,comfort
word_431,breathe,0.5384,0.4998,True,command
word_432,exactly,0.7922,0.3578,True,redirect
word_433,relax,0.867,0.3973,True,command
word_434,correct,0.7601,0.3854,True,flirt
word_435,clever,0.8829,0.6549,True,praise
word_436,soft,0.6273,0.5156,True,flirt
word_437,smart,0.6901,0.4066,True,flirt
word_438,charming,0.8665,0.4048,True,redirect
word_439,trust,0.7291,0.4136,True,compliance
word_440,beautiful,0.513,0.4431,True,flirt
word_441,follow,0.5651,0.6723,True,command
word_442,later,0.6812,0.7698,True,compliance
word_443,later,0.5316,0.474,True,comfort
word_444,please,0.5447,0.7898,True,compliance
word_445,thoughtful,0.5262,0.7199,True,redirect
word_446,try,0.6518,0.3344,True,command
word_447,baby,0.7959,0.9043,True,compliance
word_448,follow,0.5306,0.7962,True,praise
word_449,gentle,0.8812,0.9821,True,redirect
word_450,clever,0.6991,0.5401,True,compliance
word_451,lovely,0.841,0.5211,True,praise
word_452,interesting,0.7105,0.9585,True,comfort
word_453,later,0.9036,0.3008,True,redirect
word_454,calm,0.6389,0.811,True,command
word_455,correct,0.7337,0.8519,True,compliance
word_456,right,0.6087,0.507,True,comfort
word_457,breathe,0.8447,0.9902,True,flirt
word_458,relax,0.5196,0.6841,True,command
word_459,thoughtful,0.5263,0.7016,True,command
word_460,baby,0.8761,0.4793,True,redirect
word_461,understand,0.8532,0.4169,True,comfort
word_462,firm,0.6367,0.3475,True,command
word_463,obey,0.7253,0.6469,True,praise
word_464,agree,0.7343,0.8014,True,compliance
word_465,soft,0.8669,0.6621,True,flirt
word_466,now,0.7541,0.3073,True,compliance
word_467,right,0.5932,0.639,True,compliance
word_468,understand,0.7598,0.734,True,redirect
word_469,breathe,0.8892,0.729,True,praise
word_470,safe,0.836,0.393,True,redirect
word_471,thoughtful,0.5413,0.9613,True,praise
word_472,please,0.8284,0.9923,True,redirect
word_473,relax,0.5253,0.5674,True,comfort
word_474,sharp,0.8036,0.8777,True,command
word_475,good,0.9755,0.4557,True,comfort
word_476,softly,0.8181,0.8278,True,comfort
word_477,please,0.6601,0.7605,True,flirt
word_478,relax,0.738,0.686,True,comfort
word_479,true,0.7763,0.8805,True,redirect
word_480,smart,0.8484,0.408,True,compliance
word_481,delicate,0.7938,0.671,True,command
word_482,softly,0.9076,0.9969,True,flirt
word_483,fine,0.5471,0.7009,True,flirt
word_484,charming,0.9699,0.5202,True,praise
word_485,softly,0.7915,0.9862,True,praise
word_486,true,0.8083,0.3549,True,command
word_487,cute,0.537,0.8691,True,comfort
word_488,excuse,0.8772,0.8622,True,flirt
word_489,correct,0.9742,0.3914,True,redirect
word_490,yes,0.7349,0.7619,True,command
word_491,calm,0.8775,0.9585,True,command
word_492,naughty,0.7985,0.4207,True,comfort
word_493,soft,0.764,0.7312,True,comfort
word_494,breathe,0.7528,0.874,True,comfort
word_495,thoughtful,0.9671,0.5936,True,redirect
word_496,sharp,0.868,0.4723,True,flirt
word_497,nice,0.777,0.7387,True,redirect
word_498,clever,0.7317,0.6554,True,compliance
word_499,firm,0.5386,0.3491,True,flirt
word_500,again,0.8081,0.8299,True,redirect
