Token,InfluenceScore,RecallScore,Category,Type,OnScreenRender
building,0.6682,0.9337,High Recall,Natural,"Displays as: ""building"""
boy452,0.626,0.6451,Peripheral,Tagged Variant,"Displays as: ""boy452"""
although_9170,0.9796,0.5311,High Influence,Tagged Variant,"Displays as: ""although_9170"""
awesome,0.9863,0.3748,High Influence,Natural,"Displays as: ""awesome"""
believe307,0.9234,0.9674,Core Anchor,Tagged Variant,"Displays as: ""believe307"""
area184,0.7218,0.3422,Peripheral,Tagged Variant,"Displays as: ""area184"""
between788,0.6391,0.5084,Peripheral,Tagged Variant,"Displays as: ""between788"""
before,0.8737,0.5086,High Influence,Natural,"Displays as: ""before"""
attack144,0.7761,0.5243,Peripheral,Tagged Variant,"Displays as: ""attack144"""
both_6061,0.6488,0.415,Peripheral,Tagged Variant,"Displays as: ""both_6061"""
after,0.7981,0.8482,High Recall,Natural,"Displays as: ""after"""
bill,0.6138,0.3857,Peripheral,Natural,"Displays as: ""bill"""
both287,0.9637,0.7444,High Influence,Tagged Variant,"Displays as: ""both287"""
better_9375,0.7035,0.3867,Peripheral,Tagged Variant,"Displays as: ""better_9375"""
camera113,0.865,0.3494,High Influence,Tagged Variant,"Displays as: ""camera113"""
brain,0.7247,0.9366,High Recall,Natural,"Displays as: ""brain"""
attention,0.808,0.4331,High Influence,Natural,"Displays as: ""attention"""
account_9461,0.8187,0.8749,High Influence,Tagged Variant,"Displays as: ""account_9461"""
actually932,0.6739,0.6812,Peripheral,Tagged Variant,"Displays as: ""actually932"""
about,0.9878,0.3545,High Influence,Natural,"Displays as: ""about"""
against,0.9101,0.9688,Core Anchor,Natural,"Displays as: ""against"""
both590,0.9758,0.4729,High Influence,Tagged Variant,"Displays as: ""both590"""
campaign,0.9579,0.9018,Core Anchor,Natural,"Displays as: ""campaign"""
bring597,0.8392,0.4182,High Influence,Tagged Variant,"Displays as: ""bring597"""
bad_4391,0.9687,0.8978,Core Anchor,Tagged Variant,"Displays as: ""bad_4391"""
break160,0.6354,0.3093,Peripheral,Tagged Variant,"Displays as: ""break160"""
believe,0.6784,0.6582,Peripheral,Natural,"Displays as: ""believe"""
care_2914,0.6181,0.8386,High Recall,Tagged Variant,"Displays as: ""care_2914"""
account_3095,0.7301,0.9544,High Recall,Tagged Variant,"Displays as: ""account_3095"""
answer,0.7555,0.9364,High Recall,Natural,"Displays as: ""answer"""
already_7423,0.7085,0.8737,High Recall,Tagged Variant,"Displays as: ""already_7423"""
away,0.9315,0.9217,Core Anchor,Natural,"Displays as: ""away"""
border,0.7427,0.4395,Peripheral,Natural,"Displays as: ""border"""
answer460,0.7124,0.4989,Peripheral,Tagged Variant,"Displays as: ""answer460"""
around,0.8171,0.5023,High Influence,Natural,"Displays as: ""around"""
bit_7656,0.6564,0.5639,Peripheral,Tagged Variant,"Displays as: ""bit_7656"""
better,0.9209,0.5753,High Influence,Natural,"Displays as: ""better"""
background,0.6298,0.6812,Peripheral,Natural,"Displays as: ""background"""
bit,0.9948,0.4119,High Influence,Natural,"Displays as: ""bit"""
binary_5590,0.9089,0.7839,High Influence,Tagged Variant,"Displays as: ""binary_5590"""
bill_8916,0.6795,0.4173,Peripheral,Tagged Variant,"Displays as: ""bill_8916"""
border995,0.6022,0.5172,Peripheral,Tagged Variant,"Displays as: ""border995"""
access_3883,0.9262,0.6523,High Influence,Tagged Variant,"Displays as: ""access_3883"""
candidate,0.8827,0.8575,High Influence,Natural,"Displays as: ""candidate"""
anger252,0.8916,0.8176,High Influence,Tagged Variant,"Displays as: ""anger252"""
budget,0.9085,0.7519,High Influence,Natural,"Displays as: ""budget"""
another375,0.6296,0.409,Peripheral,Tagged Variant,"Displays as: ""another375"""
although,0.7434,0.6829,Peripheral,Natural,"Displays as: ""although"""
area,0.6463,0.3612,Peripheral,Natural,"Displays as: ""area"""
allow,0.9452,0.5642,High Influence,Natural,"Displays as: ""allow"""
analysis,0.8493,0.5895,High Influence,Natural,"Displays as: ""analysis"""
anger,0.7324,0.3279,Peripheral,Natural,"Displays as: ""anger"""
attack,0.6254,0.4918,Peripheral,Natural,"Displays as: ""attack"""
anything599,0.7244,0.969,High Recall,Tagged Variant,"Displays as: ""anything599"""
assume,0.7301,0.9675,High Recall,Natural,"Displays as: ""assume"""
buy824,0.8918,0.5466,High Influence,Tagged Variant,"Displays as: ""buy824"""
agency,0.855,0.3302,High Influence,Natural,"Displays as: ""agency"""
action122,0.9549,0.4254,High Influence,Tagged Variant,"Displays as: ""action122"""
care_9664,0.7889,0.5746,Peripheral,Tagged Variant,"Displays as: ""care_9664"""
accept_4179,0.6478,0.9634,High Recall,Tagged Variant,"Displays as: ""accept_4179"""
amount_1916,0.8853,0.3988,High Influence,Tagged Variant,"Displays as: ""amount_1916"""
account_1397,0.9043,0.8345,Core Anchor,Tagged Variant,"Displays as: ""account_1397"""
border330,0.8245,0.3761,High Influence,Tagged Variant,"Displays as: ""border330"""
ask,0.9084,0.9869,Core Anchor,Natural,"Displays as: ""ask"""
career,0.7975,0.5671,Peripheral,Natural,"Displays as: ""career"""
although_2562,0.8091,0.8427,High Influence,Tagged Variant,"Displays as: ""although_2562"""
basis,0.771,0.5398,Peripheral,Natural,"Displays as: ""basis"""
allow421,0.6102,0.7394,Peripheral,Tagged Variant,"Displays as: ""allow421"""
because299,0.6432,0.4344,Peripheral,Tagged Variant,"Displays as: ""because299"""
beyond696,0.6126,0.4022,Peripheral,Tagged Variant,"Displays as: ""beyond696"""
admit,0.8546,0.9566,High Influence,Natural,"Displays as: ""admit"""
account_3767,0.7257,0.9424,High Recall,Tagged Variant,"Displays as: ""account_3767"""
base477,0.8034,0.9212,High Influence,Tagged Variant,"Displays as: ""base477"""
art,0.963,0.7378,High Influence,Natural,"Displays as: ""art"""
ahead,0.6997,0.8658,High Recall,Natural,"Displays as: ""ahead"""
beat,0.7642,0.3483,Peripheral,Natural,"Displays as: ""beat"""
book197,0.9022,0.5344,High Influence,Tagged Variant,"Displays as: ""book197"""
body,0.6915,0.5196,Peripheral,Natural,"Displays as: ""body"""
area648,0.6308,0.745,Peripheral,Tagged Variant,"Displays as: ""area648"""
art_7734,0.7159,0.5492,Peripheral,Tagged Variant,"Displays as: ""art_7734"""
can_8582,0.6645,0.404,Peripheral,Tagged Variant,"Displays as: ""can_8582"""
accident_5056,0.9719,0.7175,High Influence,Tagged Variant,"Displays as: ""accident_5056"""
attack821,0.9232,0.8701,Core Anchor,Tagged Variant,"Displays as: ""attack821"""
case,0.8534,0.5675,High Influence,Natural,"Displays as: ""case"""
blue493,0.9486,0.3926,High Influence,Tagged Variant,"Displays as: ""blue493"""
awesome_8323,0.9215,0.4377,High Influence,Tagged Variant,"Displays as: ""awesome_8323"""
always_2646,0.6746,0.4662,Peripheral,Tagged Variant,"Displays as: ""always_2646"""
again_4091,0.957,0.5099,High Influence,Tagged Variant,"Displays as: ""again_4091"""
also_6557,0.8157,0.75,High Influence,Tagged Variant,"Displays as: ""also_6557"""
break,0.923,0.7207,High Influence,Natural,"Displays as: ""break"""
beyond236,0.9584,0.7873,High Influence,Tagged Variant,"Displays as: ""beyond236"""
active136,0.7272,0.5538,Peripheral,Tagged Variant,"Displays as: ""active136"""
amount_5624,0.644,0.8768,High Recall,Tagged Variant,"Displays as: ""amount_5624"""
can340,0.6912,0.4429,Peripheral,Tagged Variant,"Displays as: ""can340"""
adult748,0.7708,0.6283,Peripheral,Tagged Variant,"Displays as: ""adult748"""
analysis92,0.9272,0.8607,Core Anchor,Tagged Variant,"Displays as: ""analysis92"""
because_3193,0.9443,0.4261,High Influence,Tagged Variant,"Displays as: ""because_3193"""
base549,0.6028,0.3769,Peripheral,Tagged Variant,"Displays as: ""base549"""
admin576,0.8043,0.9186,High Influence,Tagged Variant,"Displays as: ""admin576"""
avoid_2250,0.767,0.5401,Peripheral,Tagged Variant,"Displays as: ""avoid_2250"""
affect534,0.6888,0.7787,Peripheral,Tagged Variant,"Displays as: ""affect534"""
block_6392,0.6479,0.3177,Peripheral,Tagged Variant,"Displays as: ""block_6392"""
address,0.735,0.783,Peripheral,Natural,"Displays as: ""address"""
case371,0.9772,0.5213,High Influence,Tagged Variant,"Displays as: ""case371"""
also,0.7293,0.339,Peripheral,Natural,"Displays as: ""also"""
awesome_3129,0.8075,0.7269,High Influence,Tagged Variant,"Displays as: ""awesome_3129"""
bill827,0.8812,0.4686,High Influence,Tagged Variant,"Displays as: ""bill827"""
art89,0.7455,0.5708,Peripheral,Tagged Variant,"Displays as: ""art89"""
become,0.9887,0.3564,High Influence,Natural,"Displays as: ""become"""
adult399,0.985,0.403,High Influence,Tagged Variant,"Displays as: ""adult399"""
avoid386,0.7007,0.5086,Peripheral,Tagged Variant,"Displays as: ""avoid386"""
aspect,0.7989,0.3628,Peripheral,Natural,"Displays as: ""aspect"""
appear,0.7204,0.9376,High Recall,Natural,"Displays as: ""appear"""
blue240,0.7139,0.3042,Peripheral,Tagged Variant,"Displays as: ""blue240"""
car,0.6148,0.6387,Peripheral,Natural,"Displays as: ""car"""
again_9566,0.8438,0.3863,High Influence,Tagged Variant,"Displays as: ""again_9566"""
affect_1566,0.8011,0.5154,High Influence,Tagged Variant,"Displays as: ""affect_1566"""
area316,0.6206,0.9482,High Recall,Tagged Variant,"Displays as: ""area316"""
bill252,0.7115,0.4132,Peripheral,Tagged Variant,"Displays as: ""bill252"""
button555,0.9633,0.9761,Core Anchor,Tagged Variant,"Displays as: ""button555"""
active3,0.6958,0.4441,Peripheral,Tagged Variant,"Displays as: ""active3"""
area_1147,0.658,0.8191,High Recall,Tagged Variant,"Displays as: ""area_1147"""
article44,0.7958,0.6827,Peripheral,Tagged Variant,"Displays as: ""article44"""
build_3687,0.9943,0.9191,Core Anchor,Tagged Variant,"Displays as: ""build_3687"""
always762,0.6968,0.6878,Peripheral,Tagged Variant,"Displays as: ""always762"""
already_9640,0.8689,0.6742,High Influence,Tagged Variant,"Displays as: ""already_9640"""
busy_5127,0.9046,0.4368,High Influence,Tagged Variant,"Displays as: ""busy_5127"""
again931,0.6951,0.4164,Peripheral,Tagged Variant,"Displays as: ""again931"""
admin,0.8913,0.9415,High Influence,Natural,"Displays as: ""admin"""
balance762,0.7471,0.5295,Peripheral,Tagged Variant,"Displays as: ""balance762"""
both,0.8529,0.5605,High Influence,Natural,"Displays as: ""both"""
basis_9927,0.8534,0.8319,High Influence,Tagged Variant,"Displays as: ""basis_9927"""
around552,0.8143,0.5372,High Influence,Tagged Variant,"Displays as: ""around552"""
amount_9476,0.6361,0.9664,High Recall,Tagged Variant,"Displays as: ""amount_9476"""
busy62,0.9341,0.8165,Core Anchor,Tagged Variant,"Displays as: ""busy62"""
admit917,0.7283,0.7182,Peripheral,Tagged Variant,"Displays as: ""admit917"""
blue,0.6746,0.9166,High Recall,Natural,"Displays as: ""blue"""
affect,0.6163,0.3347,Peripheral,Natural,"Displays as: ""affect"""
attention_4507,0.8364,0.4799,High Influence,Tagged Variant,"Displays as: ""attention_4507"""
behind_4660,0.871,0.6255,High Influence,Tagged Variant,"Displays as: ""behind_4660"""
anything_5799,0.6066,0.4589,Peripheral,Tagged Variant,"Displays as: ""anything_5799"""
button99,0.8048,0.8207,High Influence,Tagged Variant,"Displays as: ""button99"""
aware581,0.6906,0.9434,High Recall,Tagged Variant,"Displays as: ""aware581"""
awesome_8078,0.8581,0.5966,High Influence,Tagged Variant,"Displays as: ""awesome_8078"""
argue629,0.6697,0.5395,Peripheral,Tagged Variant,"Displays as: ""argue629"""
camera_5396,0.8764,0.9731,High Influence,Tagged Variant,"Displays as: ""camera_5396"""
admin_5858,0.7547,0.6114,Peripheral,Tagged Variant,"Displays as: ""admin_5858"""
arrive_9673,0.9747,0.6423,High Influence,Tagged Variant,"Displays as: ""arrive_9673"""
bring314,0.655,0.5462,Peripheral,Tagged Variant,"Displays as: ""bring314"""
burn,0.7364,0.9367,High Recall,Natural,"Displays as: ""burn"""
article25,0.6454,0.6983,Peripheral,Tagged Variant,"Displays as: ""article25"""
better_3156,0.9699,0.8335,Core Anchor,Tagged Variant,"Displays as: ""better_3156"""
busy_4567,0.9509,0.8683,Core Anchor,Tagged Variant,"Displays as: ""busy_4567"""
car_4490,0.7032,0.5393,Peripheral,Tagged Variant,"Displays as: ""car_4490"""
care_5763,0.864,0.6036,High Influence,Tagged Variant,"Displays as: ""care_5763"""
big151,0.9269,0.8939,Core Anchor,Tagged Variant,"Displays as: ""big151"""
bring,0.8221,0.5543,High Influence,Natural,"Displays as: ""bring"""
affect815,0.8119,0.8558,High Influence,Tagged Variant,"Displays as: ""affect815"""
burn509,0.6967,0.9587,High Recall,Tagged Variant,"Displays as: ""burn509"""
anger_4977,0.6372,0.7362,Peripheral,Tagged Variant,"Displays as: ""anger_4977"""
attitude_7376,0.9589,0.8191,Core Anchor,Tagged Variant,"Displays as: ""attitude_7376"""
about_3317,0.9602,0.8636,Core Anchor,Tagged Variant,"Displays as: ""about_3317"""
author724,0.8532,0.8915,High Influence,Tagged Variant,"Displays as: ""author724"""
author_1196,0.7356,0.5765,Peripheral,Tagged Variant,"Displays as: ""author_1196"""
affect909,0.7397,0.3359,Peripheral,Tagged Variant,"Displays as: ""affect909"""
campaign798,0.8904,0.5813,High Influence,Tagged Variant,"Displays as: ""campaign798"""
candidate_4761,0.9588,0.7716,High Influence,Tagged Variant,"Displays as: ""candidate_4761"""
border496,0.9548,0.6152,High Influence,Tagged Variant,"Displays as: ""border496"""
across,0.912,0.8243,Core Anchor,Natural,"Displays as: ""across"""
actually359,0.8568,0.5499,High Influence,Tagged Variant,"Displays as: ""actually359"""
case_2312,0.6337,0.7443,Peripheral,Tagged Variant,"Displays as: ""case_2312"""
analysis848,0.6647,0.4305,Peripheral,Tagged Variant,"Displays as: ""analysis848"""
adult333,0.9594,0.8246,Core Anchor,Tagged Variant,"Displays as: ""adult333"""
budget_6136,0.8426,0.682,High Influence,Tagged Variant,"Displays as: ""budget_6136"""
active_8783,0.6037,0.4428,Peripheral,Tagged Variant,"Displays as: ""active_8783"""
because10,0.6406,0.5043,Peripheral,Tagged Variant,"Displays as: ""because10"""
bill_7759,0.8654,0.824,High Influence,Tagged Variant,"Displays as: ""bill_7759"""
appear494,0.602,0.6378,Peripheral,Tagged Variant,"Displays as: ""appear494"""
basic_6763,0.6643,0.4512,Peripheral,Tagged Variant,"Displays as: ""basic_6763"""
also_4153,0.8195,0.9771,High Influence,Tagged Variant,"Displays as: ""also_4153"""
better_8110,0.8768,0.8006,High Influence,Tagged Variant,"Displays as: ""better_8110"""
area_6240,0.8608,0.97,High Influence,Tagged Variant,"Displays as: ""area_6240"""
can,0.6897,0.599,Peripheral,Natural,"Displays as: ""can"""
action25,0.8849,0.6326,High Influence,Tagged Variant,"Displays as: ""action25"""
building_3218,0.6949,0.9286,High Recall,Tagged Variant,"Displays as: ""building_3218"""
author326,0.7302,0.6675,Peripheral,Tagged Variant,"Displays as: ""author326"""
base712,0.8986,0.7951,High Influence,Tagged Variant,"Displays as: ""base712"""
access,0.8599,0.4765,High Influence,Natural,"Displays as: ""access"""
attempt413,0.9397,0.6127,High Influence,Tagged Variant,"Displays as: ""attempt413"""
capacity_7314,0.863,0.3864,High Influence,Tagged Variant,"Displays as: ""capacity_7314"""
avoid641,0.8273,0.4442,High Influence,Tagged Variant,"Displays as: ""avoid641"""
animal298,0.6375,0.3007,Peripheral,Tagged Variant,"Displays as: ""animal298"""
article,0.7471,0.3275,Peripheral,Natural,"Displays as: ""article"""
building821,0.7061,0.9841,High Recall,Tagged Variant,"Displays as: ""building821"""
art671,0.6976,0.4696,Peripheral,Tagged Variant,"Displays as: ""art671"""
around_8100,0.9892,0.7643,High Influence,Tagged Variant,"Displays as: ""around_8100"""
burn_9679,0.7572,0.8874,High Recall,Tagged Variant,"Displays as: ""burn_9679"""
access946,0.9568,0.6855,High Influence,Tagged Variant,"Displays as: ""access946"""
amazing,0.8525,0.4072,High Influence,Natural,"Displays as: ""amazing"""
against_5230,0.9179,0.8097,Core Anchor,Tagged Variant,"Displays as: ""against_5230"""
base_8735,0.8011,0.7202,High Influence,Tagged Variant,"Displays as: ""base_8735"""
blue_7401,0.8308,0.8119,High Influence,Tagged Variant,"Displays as: ""blue_7401"""
author_7294,0.797,0.8388,High Recall,Tagged Variant,"Displays as: ""author_7294"""
avoid727,0.6781,0.9828,High Recall,Tagged Variant,"Displays as: ""avoid727"""
attempt,0.889,0.7015,High Influence,Natural,"Displays as: ""attempt"""
carry_8856,0.7123,0.5391,Peripheral,Tagged Variant,"Displays as: ""carry_8856"""
beat939,0.6097,0.7539,Peripheral,Tagged Variant,"Displays as: ""beat939"""
amount_2891,0.8582,0.3479,High Influence,Tagged Variant,"Displays as: ""amount_2891"""
building938,0.6708,0.9282,High Recall,Tagged Variant,"Displays as: ""building938"""
beyond707,0.9762,0.3836,High Influence,Tagged Variant,"Displays as: ""beyond707"""
case231,0.9816,0.5295,High Influence,Tagged Variant,"Displays as: ""case231"""
accident,0.9659,0.871,Core Anchor,Natural,"Displays as: ""accident"""
admit_9205,0.7481,0.7181,Peripheral,Tagged Variant,"Displays as: ""admit_9205"""
above307,0.6062,0.5755,Peripheral,Tagged Variant,"Displays as: ""above307"""
analysis_2502,0.9713,0.6314,High Influence,Tagged Variant,"Displays as: ""analysis_2502"""
beauty,0.7713,0.8982,High Recall,Natural,"Displays as: ""beauty"""
admit90,0.9867,0.538,High Influence,Tagged Variant,"Displays as: ""admit90"""
approach686,0.9854,0.9088,Core Anchor,Tagged Variant,"Displays as: ""approach686"""
business,0.9412,0.3617,High Influence,Natural,"Displays as: ""business"""
author_5716,0.7178,0.8438,High Recall,Tagged Variant,"Displays as: ""author_5716"""
also337,0.754,0.8933,High Recall,Tagged Variant,"Displays as: ""also337"""
build,0.9405,0.4273,High Influence,Natural,"Displays as: ""build"""
camera780,0.7268,0.6012,Peripheral,Tagged Variant,"Displays as: ""camera780"""
become237,0.6678,0.4158,Peripheral,Tagged Variant,"Displays as: ""become237"""
become_1753,0.8227,0.7946,High Influence,Tagged Variant,"Displays as: ""become_1753"""
beauty_8855,0.9745,0.6747,High Influence,Tagged Variant,"Displays as: ""beauty_8855"""
also732,0.8784,0.7447,High Influence,Tagged Variant,"Displays as: ""also732"""
begin546,0.828,0.4375,High Influence,Tagged Variant,"Displays as: ""begin546"""
bill68,0.6389,0.4482,Peripheral,Tagged Variant,"Displays as: ""bill68"""
and_3362,0.846,0.329,High Influence,Tagged Variant,"Displays as: ""and_3362"""
border_5017,0.996,0.5254,High Influence,Tagged Variant,"Displays as: ""border_5017"""
business_1359,0.656,0.6918,Peripheral,Tagged Variant,"Displays as: ""business_1359"""
campaign357,0.8073,0.9006,High Influence,Tagged Variant,"Displays as: ""campaign357"""
arrive_6979,0.9509,0.7668,High Influence,Tagged Variant,"Displays as: ""arrive_6979"""
agent,0.8963,0.6048,High Influence,Natural,"Displays as: ""agent"""
before_9110,0.8788,0.9672,High Influence,Tagged Variant,"Displays as: ""before_9110"""
ask364,0.881,0.8035,High Influence,Tagged Variant,"Displays as: ""ask364"""
basic_7069,0.7438,0.9511,High Recall,Tagged Variant,"Displays as: ""basic_7069"""
again_6207,0.7174,0.6693,Peripheral,Tagged Variant,"Displays as: ""again_6207"""
ability,0.9237,0.4812,High Influence,Natural,"Displays as: ""ability"""
art541,0.924,0.337,High Influence,Tagged Variant,"Displays as: ""art541"""
arrive_5800,0.9468,0.8083,Core Anchor,Tagged Variant,"Displays as: ""arrive_5800"""
block661,0.9653,0.3849,High Influence,Tagged Variant,"Displays as: ""block661"""
against639,0.8045,0.5119,High Influence,Tagged Variant,"Displays as: ""against639"""
beauty534,0.8006,0.6727,High Influence,Tagged Variant,"Displays as: ""beauty534"""
above,0.9193,0.6951,High Influence,Natural,"Displays as: ""above"""
book_6280,0.86,0.7204,High Influence,Tagged Variant,"Displays as: ""book_6280"""
again_5350,0.8808,0.4164,High Influence,Tagged Variant,"Displays as: ""again_5350"""
camera413,0.9183,0.5658,High Influence,Tagged Variant,"Displays as: ""camera413"""
because569,0.956,0.732,High Influence,Tagged Variant,"Displays as: ""because569"""
business_1317,0.7352,0.9789,High Recall,Tagged Variant,"Displays as: ""business_1317"""
beauty_1424,0.7502,0.8093,High Recall,Tagged Variant,"Displays as: ""beauty_1424"""
ability25,0.6376,0.9458,High Recall,Tagged Variant,"Displays as: ""ability25"""
box727,0.8313,0.8335,High Influence,Tagged Variant,"Displays as: ""box727"""
available_3537,0.6144,0.7142,Peripheral,Tagged Variant,"Displays as: ""available_3537"""
button,0.7862,0.4344,Peripheral,Natural,"Displays as: ""button"""
after848,0.8171,0.7667,High Influence,Tagged Variant,"Displays as: ""after848"""
candidate_9174,0.7146,0.7364,Peripheral,Tagged Variant,"Displays as: ""candidate_9174"""
amazing934,0.8363,0.7217,High Influence,Tagged Variant,"Displays as: ""amazing934"""
anything441,0.6122,0.6429,Peripheral,Tagged Variant,"Displays as: ""anything441"""
anything,0.6149,0.6701,Peripheral,Natural,"Displays as: ""anything"""
anything_2228,0.929,0.5341,High Influence,Tagged Variant,"Displays as: ""anything_2228"""
big,0.7441,0.6635,Peripheral,Natural,"Displays as: ""big"""
box_6922,0.6508,0.4383,Peripheral,Tagged Variant,"Displays as: ""box_6922"""
business538,0.8089,0.8636,High Influence,Tagged Variant,"Displays as: ""business538"""
art_5882,0.908,0.43,High Influence,Tagged Variant,"Displays as: ""art_5882"""
build_5149,0.6863,0.3595,Peripheral,Tagged Variant,"Displays as: ""build_5149"""
bad,0.8492,0.6054,High Influence,Natural,"Displays as: ""bad"""
affect923,0.6341,0.7608,Peripheral,Tagged Variant,"Displays as: ""affect923"""
almost,0.6207,0.6064,Peripheral,Natural,"Displays as: ""almost"""
also925,0.8125,0.4937,High Influence,Tagged Variant,"Displays as: ""also925"""
author347,0.8163,0.6907,High Influence,Tagged Variant,"Displays as: ""author347"""
border_8317,0.855,0.5429,High Influence,Tagged Variant,"Displays as: ""border_8317"""
better_6191,0.8904,0.953,High Influence,Tagged Variant,"Displays as: ""better_6191"""
case_8329,0.9903,0.9459,Core Anchor,Tagged Variant,"Displays as: ""case_8329"""
accept_6162,0.8065,0.6517,High Influence,Tagged Variant,"Displays as: ""accept_6162"""
cancel810,0.7292,0.5295,Peripheral,Tagged Variant,"Displays as: ""cancel810"""
again,0.9181,0.816,Core Anchor,Natural,"Displays as: ""again"""
busy144,0.7083,0.3257,Peripheral,Tagged Variant,"Displays as: ""busy144"""
answer_3778,0.7756,0.6323,Peripheral,Tagged Variant,"Displays as: ""answer_3778"""
around431,0.6314,0.5354,Peripheral,Tagged Variant,"Displays as: ""around431"""
career_1966,0.6101,0.9444,High Recall,Tagged Variant,"Displays as: ""career_1966"""
carry,0.9851,0.3084,High Influence,Natural,"Displays as: ""carry"""
already481,0.9344,0.687,High Influence,Tagged Variant,"Displays as: ""already481"""
always81,0.8784,0.8185,High Influence,Tagged Variant,"Displays as: ""always81"""
action,0.7636,0.6395,Peripheral,Natural,"Displays as: ""action"""
appear_2673,0.6693,0.3598,Peripheral,Tagged Variant,"Displays as: ""appear_2673"""
black,0.6626,0.9807,High Recall,Natural,"Displays as: ""black"""
away_1551,0.7001,0.6626,Peripheral,Tagged Variant,"Displays as: ""away_1551"""
across_3667,0.8197,0.7299,High Influence,Tagged Variant,"Displays as: ""across_3667"""
blue210,0.8858,0.4656,High Influence,Tagged Variant,"Displays as: ""blue210"""
after998,0.8641,0.6384,High Influence,Tagged Variant,"Displays as: ""after998"""
author_3611,0.712,0.6004,Peripheral,Tagged Variant,"Displays as: ""author_3611"""
add,0.9819,0.3524,High Influence,Natural,"Displays as: ""add"""
become360,0.8952,0.3743,High Influence,Tagged Variant,"Displays as: ""become360"""
because,0.8217,0.8862,High Influence,Natural,"Displays as: ""because"""
approach445,0.8447,0.4679,High Influence,Tagged Variant,"Displays as: ""approach445"""
camera,0.7678,0.4365,Peripheral,Natural,"Displays as: ""camera"""
binary_3320,0.6991,0.6534,Peripheral,Tagged Variant,"Displays as: ""binary_3320"""
address117,0.7424,0.8381,High Recall,Tagged Variant,"Displays as: ""address117"""
beat_1800,0.9031,0.3434,High Influence,Tagged Variant,"Displays as: ""beat_1800"""
anything954,0.6058,0.7038,Peripheral,Tagged Variant,"Displays as: ""anything954"""
box,0.6464,0.3834,Peripheral,Natural,"Displays as: ""box"""
career_7194,0.6184,0.3255,Peripheral,Tagged Variant,"Displays as: ""career_7194"""
author,0.6163,0.3369,Peripheral,Natural,"Displays as: ""author"""
body313,0.9422,0.8839,Core Anchor,Tagged Variant,"Displays as: ""body313"""
candidate_8728,0.8815,0.3826,High Influence,Tagged Variant,"Displays as: ""candidate_8728"""
bad_7105,0.7897,0.3316,Peripheral,Tagged Variant,"Displays as: ""bad_7105"""
agree,0.6391,0.6065,Peripheral,Natural,"Displays as: ""agree"""
approach40,0.7966,0.8908,High Recall,Tagged Variant,"Displays as: ""approach40"""
beauty_4321,0.7894,0.4837,Peripheral,Tagged Variant,"Displays as: ""beauty_4321"""
behavior694,0.6693,0.5952,Peripheral,Tagged Variant,"Displays as: ""behavior694"""
