Title,Author,Year,Publisher/Notes
"Mass media, mass propaganda : examining American news in the 'War on Terror'","Dimaggio, Anthony R.",2008,
"McCarthyism : the realities, delusions and politics behind the 1950s red scare","Michaels, Jonathan",2017,
"Modernism and totalitarianism : rethinking the intellectual sources of Nazism and Stalinism, 1945 to the present","Shorten, Richard",2012,
"Mothers in the fatherland : women, the family, and Nazi politics","Koonz, Claudia",1987,
"Nationalism, ethnocentrism, and personality : social science and critical theory","Forbes, H. D.",1985,
Negativity and revolution : Adorno and political activism,,2009,
"Non-democratic politics : authoritarianism, dictatorship, and democratization","Márquez, Xavier",2017,
Obedience,,2000,
Obedience to authority : an experimental view,"Milgram, Stanley",2004,
Obedience to authority : an experimental view,"Milgram, Stanley",,
Obedience to authority : current perspectives on the Milgram paradigm,,2000,
"Open networks, closed regimes : the impact of the Internet on authoritarian rule","Kalathil, Shanthi",2003,
"Oppression and resistance : structure, agency, transformation",,2017,
Ordinary men : Reserve Police Battalion 101 and the final solution in Poland,"Browning, Christopher R.",1998,
Pacifying the homeland : intelligence fusion and mass supervision,"McQuade, Brendan",2019,
Police state : could it happen here?,"Archer, Jules",1977,
"Popular dictatorships : crises, mass opinion, and the rise of electoral authoritarianism","Matovski, Aleksandar",2021,
Problems of knowledge and freedom.,"Chomsky, Noam",,
Profit over people : neoliberalism and global order,"Chomsky, Noam",1999,
Psychopolitics : neoliberalism and new technologies of power,"Han, Byung-Chul",2017,
Right-wing authoritarianism,"Altemeyer, Bob",,
Rules for radicals : a practical primer for realistic radicals,"Alinsky, Saul D.",1989,
Ruling oneself out : a theory of collective abdications,"Ermakoff, Ivan",2008,
"Shadow network : media, money, and the secret hub of the radical right","Nelson, Anne",2019,
Spin dictators : the changing face of tyranny in the 21st century,"Guriev, S. M.",2022,
Spiritual warfare : the politics of the Christian right,"Diamond, Sara",1989,
Surveillance in the time of insecurity,"Monahan, Torin",2010,
Symbolic exchange and death,"Baudrillard, Jean",1993,
The Authoritarian personality,,1982,
"The Chinese corporatist state : adaption, survival and resistance",,2013,
The Christian right in American politics : marching to the millennium,,2003,
The Far Right,"Janson, Donald",,
"The Holy Reich : Nazi conceptions of Christianity, 1919-1945","Steigmann-Gall, Richard",2003,
The Nazi conscience,"Koonz, Claudia",2003,
The anatomy of antiliberalism,"Holmes, Stephen",1993,
The anatomy of fascism,"Paxton, Robert O.",2004,
"The appeal of fascism : a study of intellectuals and fascism, 1919-1945","Hamilton, Alastair",1973,
The authoritarian dynamic,"Stenner, Karen",2005,
The authoritarian personality studies. An inquiry into the failure of social science research to produce demonstrable knowledge.,"McKinney, David Walter",,
The colonization of psychic space : a psychoanalytic social theory of oppression,"Oliver, Kelly",2004,
"The coming of the American behemoth : the genesis of fascism in the United States, 1920-1940","Roberto, Michael Joseph",2018,
The dark side : the inside story of how the War on Terror turned into a war on American ideals,"Mayer, Jane",2009,
The fear of freedom,"Fromm, Erich",2001,
The founding myth : why Christian nationalism is un-American,"Seidel, Andrew L.",2019,
The mass psychology of fascism,"Reich, Wilhelm",1970,
The new authoritarians : convergence on the right,"Renton, Dave",2019,
"The origin of the family, private property, and the state, in the light of the researches of Lewis H. Morgan","Engels, Friedrich",1972,
The origins of Christian anti-internationalism : conservative evangelicals and the League of Nations,"Ruotsila, Markku",2008,
The origins of totalitarianism.,"Arendt, Hannah",,
The origins of totalitarianism.,"Arendt, Hannah",,
"The paranoid style in American politics, and other essays.","Hofstadter, Richard",,
The politics of authoritarian rule,"Svolik, Milan W.",2012,
The politics of cultural despair; a study in the rise of the Germanic ideology.,"Stern, Fritz",1961,
The problem of political authority : an examination of the right to coerce and the duty to obey,"Huemer, Michael",2013,
The profit doctrine : economists of the neoliberal era,"Chernomas, Robert",2017,
The reactionary mind : conservatism from Edmund Burke to Donald Trump,"Robin, Corey",2018,
The rise of authoritarianism in the Western Balkans,"Bieber, Florian",2020,
The seduction of unreason : the intellectual romance with fascism from Nietzsche to postmodernism,"Wolin, Richard",2019,
The shock doctrine of the left,"Jones, Graham",2018,
The smoke of Satan : conservative and traditionalist dissent in contemporary American Catholicism,"Cuneo, Michael W.",1997,
Totalitarian and authoritarian discourses : a global and timeless phenomenon?,,2014,
Totalitarianism,"Curtis, Michael",,
Trajectories of authoritarianism in Rwanda : elusive control before the genocide,"Desrosiers, Marie-Eve",2023,
Trouble on the far right : contemporary right-wing strategies and practices in Europe,,2016,
Waging nonviolent struggle : 20th century practice and 21st century potential,"Sharp, Gene",2005,
William Dudley Pelley : a life in right-wing extremism and the occult,"Beekman, Scott",2005,
¡No pasarán! : antifascist dispatches from a world in crisis,,2022,
